"Disease","County","Year","Sex","Count","Population","Rate"
"Diphtheria","California","2001","Total","0","34514777","0"
"Diphtheria","California","2001","Female","0","17340743","0"
"Diphtheria","California","2001","Male","0","17174034","0"
"Diphtheria","California","2002","Total","1","34940334","0.003"
"Diphtheria","California","2002","Female","1","17555714","0.006"
"Diphtheria","California","2002","Male","0","17384620","0"
"Diphtheria","California","2003","Total","0","35390986","0"
"Diphtheria","California","2003","Female","0","17783924","0"
"Diphtheria","California","2003","Male","0","17607062","0"
"Diphtheria","California","2004","Total","0","35754827","0"
"Diphtheria","California","2004","Female","0","17969405","0"
"Diphtheria","California","2004","Male","0","17785422","0"
"Diphtheria","California","2005","Total","0","35987637","0"
"Diphtheria","California","2005","Female","0","18088355","0"
"Diphtheria","California","2005","Male","0","17899282","0"
"Diphtheria","California","2006","Total","0","36248870","0"
"Diphtheria","California","2006","Female","0","18220429","0"
"Diphtheria","California","2006","Male","0","18028441","0"
"Diphtheria","California","2007","Total","0","36554575","0"
"Diphtheria","California","2007","Female","0","18373955","0"
"Diphtheria","California","2007","Male","0","18180620","0"
"Diphtheria","California","2008","Total","0","36858270","0"
"Diphtheria","California","2008","Female","0","18526603","0"
"Diphtheria","California","2008","Male","0","18331667","0"
"Diphtheria","California","2009","Total","0","37079253","0"
"Diphtheria","California","2009","Female","0","18634031","0"
"Diphtheria","California","2009","Male","0","18445222","0"
"Diphtheria","California","2010","Total","0","37311439","0"
"Diphtheria","California","2010","Female","0","18752748","0"
"Diphtheria","California","2010","Male","0","18558691","0"
"Diphtheria","California","2011","Total","0","37572186","0"
"Diphtheria","California","2011","Female","0","18881056","0"
"Diphtheria","California","2011","Male","0","18691131","0"
"Diphtheria","California","2012","Total","0","37869573","0"
"Diphtheria","California","2012","Female","0","19028077","0"
"Diphtheria","California","2012","Male","0","18841496","0"
"Diphtheria","California","2013","Total","0","38166117","0"
"Diphtheria","California","2013","Female","0","19177344","0"
"Diphtheria","California","2013","Male","0","18988773","0"
"Diphtheria","California","2014","Total","0","38501494","0"
"Diphtheria","California","2014","Female","0","19346905","0"
"Diphtheria","California","2014","Male","0","19154588","0"
"Diphtheria","Alameda","2001","Total","0","1466038","0"
"Diphtheria","Alameda","2001","Female","0","746829","0"
"Diphtheria","Alameda","2001","Male","0","719209","0"
"Diphtheria","Alameda","2002","Total","0","1468943","0"
"Diphtheria","Alameda","2002","Female","0","748222","0"
"Diphtheria","Alameda","2002","Male","0","720721","0"
"Diphtheria","Alameda","2003","Total","0","1467663","0"
"Diphtheria","Alameda","2003","Female","0","747676","0"
"Diphtheria","Alameda","2003","Male","0","719986","0"
"Diphtheria","Alameda","2004","Total","0","1466017","0"
"Diphtheria","Alameda","2004","Female","0","746959","0"
"Diphtheria","Alameda","2004","Male","0","719059","0"
"Diphtheria","Alameda","2005","Total","0","1460358","0"
"Diphtheria","Alameda","2005","Female","0","744115","0"
"Diphtheria","Alameda","2005","Male","0","716243","0"
"Diphtheria","Alameda","2006","Total","0","1465322","0"
"Diphtheria","Alameda","2006","Female","0","746698","0"
"Diphtheria","Alameda","2006","Male","0","718624","0"
"Diphtheria","Alameda","2007","Total","0","1476892","0"
"Diphtheria","Alameda","2007","Female","0","752546","0"
"Diphtheria","Alameda","2007","Male","0","724347","0"
"Diphtheria","Alameda","2008","Total","0","1492275","0"
"Diphtheria","Alameda","2008","Female","0","760368","0"
"Diphtheria","Alameda","2008","Male","0","731907","0"
"Diphtheria","Alameda","2009","Total","0","1504325","0"
"Diphtheria","Alameda","2009","Female","0","765992","0"
"Diphtheria","Alameda","2009","Male","0","738333","0"
"Diphtheria","Alameda","2010","Total","0","1513734","0"
"Diphtheria","Alameda","2010","Female","0","771369","0"
"Diphtheria","Alameda","2010","Male","0","742365","0"
"Diphtheria","Alameda","2011","Total","0","1526738","0"
"Diphtheria","Alameda","2011","Female","0","777894","0"
"Diphtheria","Alameda","2011","Male","0","748844","0"
"Diphtheria","Alameda","2012","Total","0","1539660","0"
"Diphtheria","Alameda","2012","Female","0","784429","0"
"Diphtheria","Alameda","2012","Male","0","755231","0"
"Diphtheria","Alameda","2013","Total","0","1564017","0"
"Diphtheria","Alameda","2013","Female","0","797654","0"
"Diphtheria","Alameda","2013","Male","0","766363","0"
"Diphtheria","Alameda","2014","Total","0","1584507","0"
"Diphtheria","Alameda","2014","Female","0","808612","0"
"Diphtheria","Alameda","2014","Male","0","775895","0"
"Diphtheria","Alpine","2001","Total","0","1237","0"
"Diphtheria","Alpine","2001","Female","0","589","0"
"Diphtheria","Alpine","2001","Male","0","648","0"
"Diphtheria","Alpine","2002","Total","0","1248","0"
"Diphtheria","Alpine","2002","Female","0","594","0"
"Diphtheria","Alpine","2002","Male","0","654","0"
"Diphtheria","Alpine","2003","Total","0","1249","0"
"Diphtheria","Alpine","2003","Female","0","596","0"
"Diphtheria","Alpine","2003","Male","0","653","0"
"Diphtheria","Alpine","2004","Total","0","1266","0"
"Diphtheria","Alpine","2004","Female","0","607","0"
"Diphtheria","Alpine","2004","Male","0","659","0"
"Diphtheria","Alpine","2005","Total","0","1208","0"
"Diphtheria","Alpine","2005","Female","0","580","0"
"Diphtheria","Alpine","2005","Male","0","628","0"
"Diphtheria","Alpine","2006","Total","0","1255","0"
"Diphtheria","Alpine","2006","Female","0","605","0"
"Diphtheria","Alpine","2006","Male","0","650","0"
"Diphtheria","Alpine","2007","Total","0","1248","0"
"Diphtheria","Alpine","2007","Female","0","599","0"
"Diphtheria","Alpine","2007","Male","0","649","0"
"Diphtheria","Alpine","2008","Total","0","1208","0"
"Diphtheria","Alpine","2008","Female","0","581","0"
"Diphtheria","Alpine","2008","Male","0","627","0"
"Diphtheria","Alpine","2009","Total","0","1180","0"
"Diphtheria","Alpine","2009","Female","0","570","0"
"Diphtheria","Alpine","2009","Male","0","610","0"
"Diphtheria","Alpine","2010","Total","0","1163","0"
"Diphtheria","Alpine","2010","Female","0","561","0"
"Diphtheria","Alpine","2010","Male","0","602","0"
"Diphtheria","Alpine","2011","Total","0","1118","0"
"Diphtheria","Alpine","2011","Female","0","537","0"
"Diphtheria","Alpine","2011","Male","0","581","0"
"Diphtheria","Alpine","2012","Total","0","1114","0"
"Diphtheria","Alpine","2012","Female","0","535","0"
"Diphtheria","Alpine","2012","Male","0","579","0"
"Diphtheria","Alpine","2013","Total","0","1112","0"
"Diphtheria","Alpine","2013","Female","0","533","0"
"Diphtheria","Alpine","2013","Male","0","579","0"
"Diphtheria","Alpine","2014","Total","0","1112","0"
"Diphtheria","Alpine","2014","Female","0","534","0"
"Diphtheria","Alpine","2014","Male","0","578","0"
"Diphtheria","Amador","2001","Total","0","35784","0"
"Diphtheria","Amador","2001","Female","0","16101","0"
"Diphtheria","Amador","2001","Male","0","19683","0"
"Diphtheria","Amador","2002","Total","0","36535","0"
"Diphtheria","Amador","2002","Female","0","16416","0"
"Diphtheria","Amador","2002","Male","0","20119","0"
"Diphtheria","Amador","2003","Total","0","36776","0"
"Diphtheria","Amador","2003","Female","0","16572","0"
"Diphtheria","Amador","2003","Male","0","20204","0"
"Diphtheria","Amador","2004","Total","0","37147","0"
"Diphtheria","Amador","2004","Female","0","16732","0"
"Diphtheria","Amador","2004","Male","0","20415","0"
"Diphtheria","Amador","2005","Total","0","37722","0"
"Diphtheria","Amador","2005","Female","0","16990","0"
"Diphtheria","Amador","2005","Male","0","20732","0"
"Diphtheria","Amador","2006","Total","0","37964","0"
"Diphtheria","Amador","2006","Female","0","17119","0"
"Diphtheria","Amador","2006","Male","0","20845","0"
"Diphtheria","Amador","2007","Total","0","38085","0"
"Diphtheria","Amador","2007","Female","0","17207","0"
"Diphtheria","Amador","2007","Male","0","20878","0"
"Diphtheria","Amador","2008","Total","0","37864","0"
"Diphtheria","Amador","2008","Female","0","17163","0"
"Diphtheria","Amador","2008","Male","0","20701","0"
"Diphtheria","Amador","2009","Total","0","37905","0"
"Diphtheria","Amador","2009","Female","0","17197","0"
"Diphtheria","Amador","2009","Male","0","20708","0"
"Diphtheria","Amador","2010","Total","0","37863","0"
"Diphtheria","Amador","2010","Female","0","17118","0"
"Diphtheria","Amador","2010","Male","0","20745","0"
"Diphtheria","Amador","2011","Total","0","37309","0"
"Diphtheria","Amador","2011","Female","0","16886","0"
"Diphtheria","Amador","2011","Male","0","20423","0"
"Diphtheria","Amador","2012","Total","0","36403","0"
"Diphtheria","Amador","2012","Female","0","16489","0"
"Diphtheria","Amador","2012","Male","0","19914","0"
"Diphtheria","Amador","2013","Total","0","36028","0"
"Diphtheria","Amador","2013","Female","0","16327","0"
"Diphtheria","Amador","2013","Male","0","19701","0"
"Diphtheria","Amador","2014","Total","0","36099","0"
"Diphtheria","Amador","2014","Female","0","16358","0"
"Diphtheria","Amador","2014","Male","0","19741","0"
"Diphtheria","Butte","2001","Total","0","205730","0"
"Diphtheria","Butte","2001","Female","0","104697","0"
"Diphtheria","Butte","2001","Male","0","101033","0"
"Diphtheria","Butte","2002","Total","0","208154","0"
"Diphtheria","Butte","2002","Female","0","105823","0"
"Diphtheria","Butte","2002","Male","0","102331","0"
"Diphtheria","Butte","2003","Total","0","210623","0"
"Diphtheria","Butte","2003","Female","0","106998","0"
"Diphtheria","Butte","2003","Male","0","103625","0"
"Diphtheria","Butte","2004","Total","0","212212","0"
"Diphtheria","Butte","2004","Female","0","107746","0"
"Diphtheria","Butte","2004","Male","0","104466","0"
"Diphtheria","Butte","2005","Total","0","213698","0"
"Diphtheria","Butte","2005","Female","0","108417","0"
"Diphtheria","Butte","2005","Male","0","105281","0"
"Diphtheria","Butte","2006","Total","0","215684","0"
"Diphtheria","Butte","2006","Female","0","109338","0"
"Diphtheria","Butte","2006","Male","0","106346","0"
"Diphtheria","Butte","2007","Total","0","217115","0"
"Diphtheria","Butte","2007","Female","0","110027","0"
"Diphtheria","Butte","2007","Male","0","107088","0"
"Diphtheria","Butte","2008","Total","0","218485","0"
"Diphtheria","Butte","2008","Female","0","110685","0"
"Diphtheria","Butte","2008","Male","0","107800","0"
"Diphtheria","Butte","2009","Total","0","219287","0"
"Diphtheria","Butte","2009","Female","0","110967","0"
"Diphtheria","Butte","2009","Male","0","108320","0"
"Diphtheria","Butte","2010","Total","0","219971","0"
"Diphtheria","Butte","2010","Female","0","111086","0"
"Diphtheria","Butte","2010","Male","0","108885","0"
"Diphtheria","Butte","2011","Total","0","220434","0"
"Diphtheria","Butte","2011","Female","0","111240","0"
"Diphtheria","Butte","2011","Male","0","109194","0"
"Diphtheria","Butte","2012","Total","0","220980","0"
"Diphtheria","Butte","2012","Female","0","111415","0"
"Diphtheria","Butte","2012","Male","0","109565","0"
"Diphtheria","Butte","2013","Total","0","221416","0"
"Diphtheria","Butte","2013","Female","0","111548","0"
"Diphtheria","Butte","2013","Male","0","109868","0"
"Diphtheria","Butte","2014","Total","0","223905","0"
"Diphtheria","Butte","2014","Female","0","112637","0"
"Diphtheria","Butte","2014","Male","0","111268","0"
"Diphtheria","Calaveras","2001","Total","0","41428","0"
"Diphtheria","Calaveras","2001","Female","0","20794","0"
"Diphtheria","Calaveras","2001","Male","0","20634","0"
"Diphtheria","Calaveras","2002","Total","0","42119","0"
"Diphtheria","Calaveras","2002","Female","0","21136","0"
"Diphtheria","Calaveras","2002","Male","0","20983","0"
"Diphtheria","Calaveras","2003","Total","0","43186","0"
"Diphtheria","Calaveras","2003","Female","0","21655","0"
"Diphtheria","Calaveras","2003","Male","0","21531","0"
"Diphtheria","Calaveras","2004","Total","0","43924","0"
"Diphtheria","Calaveras","2004","Female","0","22015","0"
"Diphtheria","Calaveras","2004","Male","0","21909","0"
"Diphtheria","Calaveras","2005","Total","0","44773","0"
"Diphtheria","Calaveras","2005","Female","0","22427","0"
"Diphtheria","Calaveras","2005","Male","0","22346","0"
"Diphtheria","Calaveras","2006","Total","0","45316","0"
"Diphtheria","Calaveras","2006","Female","0","22693","0"
"Diphtheria","Calaveras","2006","Male","0","22623","0"
"Diphtheria","Calaveras","2007","Total","0","45638","0"
"Diphtheria","Calaveras","2007","Female","0","22842","0"
"Diphtheria","Calaveras","2007","Male","0","22796","0"
"Diphtheria","Calaveras","2008","Total","0","45702","0"
"Diphtheria","Calaveras","2008","Female","0","22864","0"
"Diphtheria","Calaveras","2008","Male","0","22838","0"
"Diphtheria","Calaveras","2009","Total","0","45562","0"
"Diphtheria","Calaveras","2009","Female","0","22797","0"
"Diphtheria","Calaveras","2009","Male","0","22765","0"
"Diphtheria","Calaveras","2010","Total","0","45456","0"
"Diphtheria","Calaveras","2010","Female","0","22699","0"
"Diphtheria","Calaveras","2010","Male","0","22757","0"
"Diphtheria","Calaveras","2011","Total","0","45121","0"
"Diphtheria","Calaveras","2011","Female","0","22552","0"
"Diphtheria","Calaveras","2011","Male","0","22569","0"
"Diphtheria","Calaveras","2012","Total","0","44923","0"
"Diphtheria","Calaveras","2012","Female","0","22468","0"
"Diphtheria","Calaveras","2012","Male","0","22455","0"
"Diphtheria","Calaveras","2013","Total","0","44852","0"
"Diphtheria","Calaveras","2013","Female","0","22444","0"
"Diphtheria","Calaveras","2013","Male","0","22408","0"
"Diphtheria","Calaveras","2014","Total","0","45079","0"
"Diphtheria","Calaveras","2014","Female","0","22552","0"
"Diphtheria","Calaveras","2014","Male","0","22527","0"
"Diphtheria","Colusa","2001","Total","0","19068","0"
"Diphtheria","Colusa","2001","Female","0","9370","0"
"Diphtheria","Colusa","2001","Male","0","9698","0"
"Diphtheria","Colusa","2002","Total","0","19391","0"
"Diphtheria","Colusa","2002","Female","0","9515","0"
"Diphtheria","Colusa","2002","Male","0","9876","0"
"Diphtheria","Colusa","2003","Total","0","19685","0"
"Diphtheria","Colusa","2003","Female","0","9661","0"
"Diphtheria","Colusa","2003","Male","0","10024","0"
"Diphtheria","Colusa","2004","Total","0","20184","0"
"Diphtheria","Colusa","2004","Female","0","9891","0"
"Diphtheria","Colusa","2004","Male","0","10293","0"
"Diphtheria","Colusa","2005","Total","0","20565","0"
"Diphtheria","Colusa","2005","Female","0","10072","0"
"Diphtheria","Colusa","2005","Male","0","10493","0"
"Diphtheria","Colusa","2006","Total","0","20893","0"
"Diphtheria","Colusa","2006","Female","0","10228","0"
"Diphtheria","Colusa","2006","Male","0","10665","0"
"Diphtheria","Colusa","2007","Total","0","21119","0"
"Diphtheria","Colusa","2007","Female","0","10337","0"
"Diphtheria","Colusa","2007","Male","0","10782","0"
"Diphtheria","Colusa","2008","Total","0","21172","0"
"Diphtheria","Colusa","2008","Female","0","10363","0"
"Diphtheria","Colusa","2008","Male","0","10809","0"
"Diphtheria","Colusa","2009","Total","0","21270","0"
"Diphtheria","Colusa","2009","Female","0","10373","0"
"Diphtheria","Colusa","2009","Male","0","10897","0"
"Diphtheria","Colusa","2010","Total","0","21483","0"
"Diphtheria","Colusa","2010","Female","0","10435","0"
"Diphtheria","Colusa","2010","Male","0","11048","0"
"Diphtheria","Colusa","2011","Total","0","21497","0"
"Diphtheria","Colusa","2011","Female","0","10441","0"
"Diphtheria","Colusa","2011","Male","0","11056","0"
"Diphtheria","Colusa","2012","Total","0","21442","0"
"Diphtheria","Colusa","2012","Female","0","10416","0"
"Diphtheria","Colusa","2012","Male","0","11026","0"
"Diphtheria","Colusa","2013","Total","0","21665","0"
"Diphtheria","Colusa","2013","Female","0","10523","0"
"Diphtheria","Colusa","2013","Male","0","11142","0"
"Diphtheria","Colusa","2014","Total","0","21606","0"
"Diphtheria","Colusa","2014","Female","0","10489","0"
"Diphtheria","Colusa","2014","Male","0","11117","0"
"Diphtheria","Contra Costa","2001","Total","0","970496","0"
"Diphtheria","Contra Costa","2001","Female","0","497442","0"
"Diphtheria","Contra Costa","2001","Male","0","473054","0"
"Diphtheria","Contra Costa","2002","Total","0","978795","0"
"Diphtheria","Contra Costa","2002","Female","0","501572","0"
"Diphtheria","Contra Costa","2002","Male","0","477223","0"
"Diphtheria","Contra Costa","2003","Total","0","989705","0"
"Diphtheria","Contra Costa","2003","Female","0","507028","0"
"Diphtheria","Contra Costa","2003","Male","0","482677","0"
"Diphtheria","Contra Costa","2004","Total","0","998201","0"
"Diphtheria","Contra Costa","2004","Female","0","511239","0"
