Year,Age,Immunization,Immunization_Count
2008,0,Hepatitis B,441340
2008,0,Diphtheria,503370
2008,0,Tetanus,503370
2008,0,Pertussis,502680
2008,0,Polio,489774
2008,0,Human Papilloma Virus,0
2008,0,Varicella,0
2008,0,Measles,0
2008,0,Mumps,0
2008,0,Rubella,0
2008,0,Influenza,54040
2008,0,Rotavirus,395460
2008,0,Hib,485221
2008,0,Pneumococcal,497061
2008,0,Hepatitis A,0
2008,0,Meningococcal,0
2008,1,Hepatitis B,76144
2008,1,Diphtheria,204299
2008,1,Tetanus,204299
2008,1,Pertussis,203862
2008,1,Polio,90455
2008,1,Human Papilloma Virus,0
2008,1,Varicella,158643
2008,1,Measles,160551
2008,1,Mumps,160477
2008,1,Rubella,160914
2008,1,Influenza,118113
2008,1,Rotavirus,0
2008,1,Hib,124648
2008,1,Pneumococcal,204095
2008,1,Hepatitis A,190093
2008,1,Meningococcal,0
2008,2,Hepatitis B,8498
2008,2,Diphtheria,34907
2008,2,Tetanus,34907
2008,2,Pertussis,34784
2008,2,Polio,9767
2008,2,Human Papilloma Virus,0
2008,2,Varicella,12915
2008,2,Measles,10610
2008,2,Mumps,10595
2008,2,Rubella,10645
2008,2,Influenza,57020
2008,2,Rotavirus,0
2008,2,Hib,15447
2008,2,Pneumococcal,21520
2008,2,Hepatitis A,93750
2008,2,Meningococcal,943
2008,3,Hepatitis B,4456
2008,3,Diphtheria,11844
2008,3,Tetanus,11844
2008,3,Pertussis,11792
2008,3,Polio,6461
2008,3,Human Papilloma Virus,0
2008,3,Varicella,8259
2008,3,Measles,6240
2008,3,Mumps,6235
2008,3,Rubella,6248
2008,3,Influenza,37500
2008,3,Rotavirus,0
2008,3,Hib,4254
2008,3,Pneumococcal,7155
2008,3,Hepatitis A,31994
2008,3,Meningococcal,726
2008,4,Hepatitis B,5440
2008,4,Diphtheria,109549
2008,4,Tetanus,109549
2008,4,Pertussis,109422
2008,4,Polio,107724
2008,4,Human Papilloma Virus,0
2008,4,Varicella,99233
2008,4,Measles,108119
2008,4,Mumps,107962
2008,4,Rubella,108036
2008,4,Influenza,35162
2008,4,Rotavirus,0
2008,4,Hib,3775
2008,4,Pneumococcal,5451
2008,4,Hepatitis A,26284
2008,4,Meningococcal,858
2008,5,Hepatitis B,3493
2008,5,Diphtheria,23375
2008,5,Tetanus,23375
2008,5,Pertussis,23305
2008,5,Polio,20588
2008,5,Human Papilloma Virus,0
2008,5,Varicella,24674
2008,5,Measles,20973
2008,5,Mumps,20947
2008,5,Rubella,20961
2008,5,Influenza,23444
2008,5,Rotavirus,0
2008,5,Hib,1109
2008,5,Pneumococcal,1357
2008,5,Hepatitis A,14321
2008,5,Meningococcal,604
2008,6,Hepatitis B,2016
2008,6,Diphtheria,4856
2008,6,Tetanus,4856
2008,6,Pertussis,4750
2008,6,Polio,3602
2008,6,Human Papilloma Virus,0
2008,6,Varicella,15729
2008,6,Measles,3560
2008,6,Mumps,3558
2008,6,Rubella,3561
2008,6,Influenza,22353
2008,6,Rotavirus,0
2008,6,Hib,363
2008,6,Pneumococcal,473
2008,6,Hepatitis A,7519
2008,6,Meningococcal,546
2008,7,Hepatitis B,1615
2008,7,Diphtheria,2695
2008,7,Tetanus,2695
2008,7,Pertussis,1675
2008,7,Polio,1847
2008,7,Human Papilloma Virus,0
2008,7,Varicella,15196
2008,7,Measles,1807
2008,7,Mumps,1803
2008,7,Rubella,1805
2008,7,Influenza,16502
2008,7,Rotavirus,0
2008,7,Hib,220
2008,7,Pneumococcal,330
2008,7,Hepatitis A,5254
2008,7,Meningococcal,494
2008,8,Hepatitis B,1907
2008,8,Diphtheria,2345
2008,8,Tetanus,2345
2008,8,Pertussis,1247
2008,8,Polio,1715
2008,8,Human Papilloma Virus,0
2008,8,Varicella,16136
2008,8,Measles,1556
2008,8,Mumps,1553
2008,8,Rubella,1555
2008,8,Influenza,14723
2008,8,Rotavirus,0
2008,8,Hib,189
2008,8,Pneumococcal,233
2008,8,Hepatitis A,4940
2008,8,Meningococcal,536
2008,9,Hepatitis B,2473
2008,9,Diphtheria,2729
2008,9,Tetanus,2729
2008,9,Pertussis,1403
2008,9,Polio,1440
2008,9,Human Papilloma Virus,4527
2008,9,Varicella,15629
2008,9,Measles,1427
2008,9,Mumps,1424
2008,9,Rubella,1430
2008,9,Influenza,12486
2008,9,Rotavirus,0
2008,9,Hib,131
2008,9,Pneumococcal,165
2008,9,Hepatitis A,5333
2008,9,Meningococcal,738
2008,10,Hepatitis B,3113
2008,10,Diphtheria,6266
2008,10,Tetanus,6266
2008,10,Pertussis,4726
2008,10,Polio,1563
2008,10,Human Papilloma Virus,6492
2008,10,Varicella,14941
2008,10,Measles,1584
2008,10,Mumps,1583
2008,10,Rubella,1592
2008,10,Influenza,11380
2008,10,Rotavirus,0
2008,10,Hib,141
2008,10,Pneumococcal,145
2008,10,Hepatitis A,5628
2008,10,Meningococcal,1878
2008,11,Hepatitis B,3823
2008,11,Diphtheria,34134
2008,11,Tetanus,34134
2008,11,Pertussis,31497
2008,11,Polio,1850
2008,11,Human Papilloma Virus,23041
2008,11,Varicella,18075
2008,11,Measles,1922
2008,11,Mumps,1912
2008,11,Rubella,1918
2008,11,Influenza,12620
2008,11,Rotavirus,0
2008,11,Hib,168
2008,11,Pneumococcal,355
2008,11,Hepatitis A,7346
2008,11,Meningococcal,34012
2008,12,Hepatitis B,3846
2008,12,Diphtheria,22114
2008,12,Tetanus,22114
2008,12,Pertussis,19941
2008,12,Polio,1930
2008,12,Human Papilloma Virus,22215
